Time (ms),Channel A Voltage (V),Channel B Voltage (V)
8.06642091,0.00537126,0.0319834
8.07154091,-0.00344859,0.0319834
8.07666091,-0.00344859,0.02307199
8.08178091,0.00537126,0.01413007
8.08690091,-0.00344859,0.0319834
8.09202091,-0.00344859,0.04092532
8.09714091,-0.00344859,0.02307199
8.10226091,0.00537126,0.01413007
8.10738091,0.00537126,0.02307199
8.11250091,-0.00344859,0.02307199
8.11762091,0.00537126,0.02307199
8.12274091,-0.00344859,0.02307199
8.12786091,-0.00344859,0.02307199
8.13298091,0.00537126,0.02307199
8.13810091,0.00537126,0.0319834
8.14322091,-0.00344859,0.0319834
8.14834091,0.00537126,0.02307199
8.15346091,0.00537126,0.01413007
8.15858091,-0.00344859,0.02307199
8.16370091,-0.00344859,0.0319834
8.16882091,-0.00344859,0.02307199
8.17394091,-0.00344859,0.01413007
8.17906091,0.00537126,0.02307199
8.18418091,-0.00344859,0.0319834
8.18930091,-0.00344859,0.02307199
8.19442091,-0.00344859,0.01413007
8.19954091,0.00537126,0.02307199
8.20466091,-0.00344859,0.02307199
8.20978091,-0.00344859,0.02307199
8.21490091,-0.00344859,0.02307199
8.22002091,0.00537126,0.02307199
8.22514091,0.00537126,0.02307199
8.23026091,-0.00344859,0.02307199
8.23538091,0.00537126,0.02307199
8.24050091,-0.00344859,0.02307199
8.24562091,-0.00344859,0.01413007
8.25074091,0.00537126,0.02307199
8.25586091,-0.00344859,0.02307199
8.26098091,-0.00344859,0.02307199
8.26610091,0.00537126,0.01413007
8.27122091,0.00537126,0.02307199
8.27634091,-0.00344859,0.0319834
8.28146091,-0.00344859,0.02307199
8.28658091,0.00537126,0.01413007
8.29170091,0.00537126,0.02307199
8.29682091,-0.00344859,0.0319834
8.30194091,-0.00344859,0.02307199
8.30706091,-0.00344859,0.02307199
8.31218091,-0.00344859,0.02307199
8.31730091,-0.00344859,0.0319834
8.32242091,-0.00344859,0.0319834
8.32754091,-0.00344859,0.02307199
8.33266091,-0.00344859,0.02307199
8.33778091,-0.00344859,0.02307199
8.34290091,0.00537126,0.02307199
8.34802091,-0.00344859,0.0319834
8.35314091,-0.00344859,0.0319834
8.35826091,0.00537126,0.02307199
8.36338091,0.00537126,0.02307199
8.36850091,-0.00344859,0.0319834
8.37362091,0.00537126,0.02307199
8.37874091,0.00537126,0.01413007
8.38386091,0.00537126,0.02307199
8.38898091,-0.00344859,0.0319834
8.39410091,-0.00344859,0.02307199
8.39922091,-0.00344859,0.02307199
8.40434091,0.00537126,0.02307199
8.40946091,0.00537126,0.02307199
8.41458091,-0.00344859,0.02307199
8.41970091,-0.00344859,0.02307199
8.42482091,0.00537126,0.02307199
8.42994091,-0.00344859,0.02307199
8.43506091,-0.00344859,0.02307199
8.44018091,-0.00344859,0.02307199
8.44530091,-0.00344859,0.02307199
8.45042091,0.00537126,0.01413007
8.45554091,0.00537126,0.02307199
8.46066091,0.00537126,0.0319834
8.46578091,-0.00344859,0.02307199
8.47090091,-0.00344859,0.02307199
8.47602091,-0.00344859,0.02307199
8.48114091,-0.00344859,0.04092532
8.48626091,-0.00344859,0.0319834
8.49138091,0.00537126,0.02307199
8.49650091,0.00537126,0.02307199
8.50162091,-0.00344859,0.0319834
8.50674091,-0.00344859,0.04092532
8.51186091,-0.00344859,0.02307199
8.51698091,0.00537126,0.02307199
8.52210091,-0.00344859,0.0319834
8.52722091,0.00537126,0.0319834
8.53234091,-0.00344859,0.02307199
8.53746091,-0.00344859,0.02307199
8.54258091,0.00537126,0.02307199
8.54770091,0.00537126,0.02307199
8.55282091,-0.00344859,0.02307199
8.55794091,-0.00344859,0.02307199
8.56306091,0.00537126,0.01413007
8.56818091,0.00537126,0.01413007
8.57330091,0.00537126,0.0319834
8.57842091,-0.00344859,0.02307199
8.58354091,-0.00344859,0.01413007
8.58866091,0.00537126,0.01413007
8.59378091,0.00537126,0.0319834
8.59890091,-0.00344859,0.0319834
8.60402091,-0.00344859,0.02307199
8.60914091,0.00537126,0.01413007
8.61426091,0.00537126,0.02307199
8.61938091,-0.00344859,0.0319834
8.62450091,-0.00344859,0.02307199
8.62962091,-0.00344859,0.02307199
8.63474091,0.00537126,0.02307199
8.63986091,-0.00344859,0.02307199
8.64498091,-0.00344859,0.0319834
8.65010091,-0.00344859,0.02307199
8.65522091,-0.00344859,0.01413007
8.66034091,-0.00344859,0.02307199
8.66546091,-0.00344859,0.04092532
8.67058091,-0.00344859,0.0319834
8.67570091,-0.00344859,0.02307199
8.68082091,0.00537126,0.02307199
8.68594091,0.00537126,0.0319834
8.69106091,-0.00344859,0.0319834
8.69618091,-0.00344859,0.02307199
8.70130091,0.00537126,0.02307199
8.70642091,0.00537126,0.0319834
8.71154091,-0.00344859,0.0319834
8.71666091,0.00537126,0.0319834
8.72178091,0.00537126,0.02307199
8.72690091,0.00537126,0.02307199
8.73202091,0.00537126,0.02307199
8.73714091,0.00537126,0.02307199
8.74226091,-0.00344859,0.02307199
8.74738091,-0.00344859,0.02307199
8.75250091,0.00537126,0.01413007
8.75762091,-0.00344859,0.02307199
8.76274091,-0.00344859,0.02307199
8.76786091,0.00537126,0.01413007
8.77298091,0.00537126,0.02307199
8.77810091,-0.00344859,0.02307199
8.78322091,-0.00344859,0.02307199
8.78834091,-0.00344859,0.01413007
8.79346091,0.00537126,0.01413007
8.79858091,-0.00344859,0.01413007
8.80370091,0.00537126,0.0319834
8.80882091,-0.00344859,0.02307199
8.81394091,-0.00344859,0.02307199
8.81906091,0.00537126,0.02307199
8.82418091,0.00537126,0.0319834
8.82930091,-0.00344859,0.0319834
8.83442091,-0.00344859,0.02307199
8.83954091,0.00537126,0.02307199
8.84466091,-0.00344859,0.0319834
8.84978091,-0.00344859,0.04092532
8.85490091,-0.00344859,0.0319834
8.86002091,-0.00344859,0.0319834
8.86514091,0.00537126,0.0319834
8.87026091,0.00537126,0.0319834
8.87538091,-0.00344859,0.0319834
8.88050091,-0.00344859,0.0319834
8.88562091,0.00537126,0.02307199
8.89074091,0.00537126,0.02307199
8.89586091,-0.00344859,0.04092532
8.90098091,-0.00344859,0.0319834
8.90610091,0.00537126,0.02307199
8.91122091,0.00537126,0.02307199
8.91634091,0.00537126,0.02307199
8.92146091,-0.00344859,0.0319834
8.92658091,-0.00344859,0.01413007
8.93170091,0.00537126,0.01413007
8.93682091,-0.00344859,0.02307199
8.94194091,0.00537126,0.02307199
8.94706091,-0.00344859,0.01413007
8.95218091,-0.00344859,0.01413007
8.95730091,0.00537126,0.01413007
8.96242091,-0.00344859,0.02307199
8.96754091,-0.00344859,0.02307199
8.97266091,-0.00344859,0.02307199
8.97778091,0.00537126,0.01413007
8.98290091,0.00537126,0.02307199
8.98802091,-0.00344859,0.02307199
8.99314091,-0.00344859,0.0319834
8.99826091,-0.00344859,0.01413007
