Time (ms),Voltage (V)
2.83153907,-0.07913449
2.83409907,-0.07913449
2.83665907,-0.07022309
2.83921907,-0.07913449
2.84177907,-0.07913449
2.84433907,-0.07913449
2.84689907,-0.07913449
2.84945907,-0.07913449
2.85201907,-0.07913449
2.85457907,-0.07913449
2.85713907,-0.07913449
2.85969907,-0.07913449
2.86225907,-0.07022309
2.86481907,-0.07913449
2.86737907,-0.07022309
2.86993907,-0.07022309
2.87249907,-0.07913449
2.87505907,-0.07913449
2.87761907,-0.07022309
2.88017907,-0.07913449
2.88273907,-0.07913449
2.88529907,-0.07913449
2.88785907,-0.07913449
2.89041907,-0.07913449
2.89297907,-0.07913449
2.89553907,-0.07913449
2.89809907,-0.07913449
2.90065907,-0.07913449
2.90321907,-0.07913449
2.90577907,-0.07913449
2.90833907,-0.07913449
2.91089907,-0.07913449
2.91345907,-0.07913449
2.91601907,-0.07913449
2.91857907,-0.07913449
2.92113907,-0.07022309
2.92369907,-0.07913449
2.92625907,-0.07022309
2.92881907,-0.07022309
2.93137907,-0.07022309
2.93393907,-0.07022309
2.93649907,-0.07913449
2.93905907,-0.07913449
2.94161907,-0.07913449
2.94417907,-0.07913449
2.94673907,-0.07913449
2.94929907,-0.07913449
2.95185907,-0.07913449
2.95441907,-0.07913449
2.95697907,-0.07913449
2.95953907,-0.07913449
2.96209907,-0.07913449
2.96465907,-0.07913449
2.96721907,-0.07913449
2.96977907,-0.07913449
2.97233907,-0.07913449
2.97489907,-0.07913449
2.97745907,-0.07913449
2.98001907,-0.07913449
2.98257907,-0.07913449
2.98513907,-0.07913449
2.98769907,-0.07913449
2.99025907,-0.07913449
2.99281907,-0.07913449
2.99537907,-0.07913449
2.99793907,-0.07022309
3.00049907,-0.07913449
3.00305907,-0.07913449
3.00561907,-0.07022309
3.00817907,-0.07022309
3.01073907,-0.07913449
3.01329907,-0.07913449
3.01585907,-0.07913449
3.01841907,-0.07913449
3.02097907,-0.07913449
3.02353907,-0.07022309
3.02609907,-0.07022309
3.02865907,-0.07022309
3.03121907,-0.07022309
3.03377907,-0.07022309
3.03633907,-0.07022309
3.03889907,-0.07022309
3.04145907,-0.07022309
3.04401907,-0.07022309
3.04657907,-0.07022309
3.04913907,-0.06131168
3.05169907,-0.07022309
3.05425907,-0.07022309
3.05681907,-0.07022309
3.05937907,-0.07022309
3.06193907,-0.07022309
3.06449907,-0.07022309
3.06705907,-0.07913449
3.06961907,-0.07022309
3.07217907,-0.07022309
3.07473907,-0.07913449
3.07729907,-0.07913449
3.07985907,-0.07913449
3.08241907,-0.07022309
3.08497907,-0.07022309
3.08753907,-0.07913449
3.09009907,-0.07022309
3.09265907,-0.07022309
3.09521907,-0.07022309
3.09777907,-0.07022309
3.10033907,-0.07022309
3.10289907,-0.07022309
3.10545907,-0.07022309
3.10801907,-0.07022309
3.11057907,-0.07913449
3.11313907,-0.07022309
3.11569907,-0.07913449
3.11825907,-0.07022309
3.12081907,-0.07913449
3.12337907,-0.07913449
3.12593907,-0.07913449
3.12849907,-0.07913449
3.13105907,-0.07913449
3.13361907,-0.07913449
3.13617907,-0.07022309
3.13873907,-0.07913449
3.14129907,-0.07913449
3.14385907,-0.07913449
3.14641907,-0.07913449
3.14897907,-0.07913449
3.15153907,-0.07913449
3.15409907,-0.07913449
3.15665907,-0.07913449
3.15921907,-0.07913449
3.16177907,-0.07913449
3.16433907,-0.07913449
3.16689907,-0.07913449
3.16945907,-0.07913449
3.17201907,-0.07913449
3.17457907,-0.07913449
3.17713907,-0.07913449
3.17969907,-0.07913449
3.18225907,-0.07913449
3.18481907,-0.07913449
3.18737907,-0.07913449
3.18993907,-0.07913449
3.19249907,-0.07913449
3.19505907,-0.07913449
3.19761907,-0.07913449
3.20017907,-0.07913449
3.20273907,-0.07913449
3.20529907,-0.07913449
3.20785907,-0.07913449
3.21041907,-0.07913449
3.21297907,-0.07913449
3.21553907,-0.07913449
3.21809907,-0.07913449
3.22065907,-0.07913449
3.22321907,-0.07913449
3.22577907,-0.07913449
3.22833907,-0.07913449
3.23089907,-0.07913449
3.23345907,-0.07913449
3.23601907,-0.07022309
3.23857907,-0.07913449
3.24113907,-0.07913449
3.24369907,-0.07913449
3.24625907,-0.07913449
3.24881907,-0.07913449
3.25137907,-0.07913449
3.25393907,-0.07913449
3.25649907,-0.07913449
3.25905907,-0.07913449
